gallery_name,gallery_website,startup_id,startup_name,startup_website,match_score
Blue Yonder,https://blueyonder.com,blueyonder-com,Blue Yonder,https://blueyonder.com,100
Chubb,https://www.chubb.com,chubb-com,Chubb,https://www.chubb.com,100
TJX Companies,https://www.tjx.com,tjx-com,TJX Companies,https://www.tjx.com,100
Trimont,https://www.trimont.com,trimont-com,Trimont,https://www.trimont.com,100
ModMed,https://www.modmed.com,modmed-com,ModMed,https://www.modmed.com,100
iSprout,https://isprout.in,isprout-in,iSprout,https://isprout.in,100
Hyundai Mobis,https://www.mobis.co.kr,mobis-co-kr,Hyundai Mobis,https://www.mobis.co.kr,100
Vensar Constructions,https://vensar.in,vensar-in,Vensar Constructions,https://vensar.in,100
Fresher Jobs,https://way2fresher.com/,fresher-jobs,Fresher Jobs,https://way2fresher.com/,100
Payswiff,https://www.payswiff.com/,payswiff,Payswiff,https://www.payswiff.com/,100
byteXL,https://bytexl.com/,bytexl,byteXL,https://bytexl.com/,100
MySmartPrice.com,https://www.mysmartprice.com/,mysmartpricecom,MySmartPrice.com,https://www.mysmartprice.com/,100
Mtuity - A Paradigm Company,https://quantela.com/,mtuity-a-paradigm-company,Mtuity - A Paradigm Company,https://quantela.com/,100
Conneqt Business Solutions Limited,https://conneqtcorp.com/,conneqt-business-solutions-limited,Conneqt Business Solutions Limited,https://conneqtcorp.com/,100
Power Mech Projects Limited,https://powermechprojects.com/,power-mech-projects-limited,Power Mech Projects Limited,https://powermechprojects.com/,100
Gati Ltd,https://www.gati.com/,gati-ltd,Gati Ltd,https://www.gati.com/,100
ValueLabs,https://www.valuelabs.com/,valuelabs,ValueLabs,https://www.valuelabs.com/,100
CONSTELLI,https://constelli.com/,constelli,CONSTELLI,https://constelli.com/,100
MedPlus Health Services Limited,https://www.medplusindia.com/,medplus-health-services-limited,MedPlus Health Services Limited,https://www.medplusindia.com/,100
Ramky Enviro Engineers Limited,https://ramkyenviroengineers.com/,ramky-enviro-engineers-limited,Ramky Enviro Engineers Limited,https://ramkyenviroengineers.com/,100
GVK,https://gvk.com/,gvk,GVK,https://gvk.com/,100
Laurus Labs,https://www.lauruslabs.com/,laurus-labs,Laurus Labs,https://www.lauruslabs.com/,100
SOMA,https://soma.co.in/,soma,SOMA,https://soma.co.in/,100
Ramky Group,https://ramky.com/,ramky-group,Ramky Group,https://ramky.com/,100
AIG Hospitals,https://aighospitals.com/,aig-hospitals,AIG Hospitals,https://aighospitals.com/,100
Next Education,https://www.nexteducation.in/,next-education,Next Education,https://www.nexteducation.in/,100
I-PAC,https://indianpac.com/,i-pac,I-PAC,https://indianpac.com/,100
MediaMint,https://mediamint.com/,mediamint,MediaMint,https://mediamint.com/,100
DaVita Nephrolife,https://nephrolife.in/,davita-nephrolife,DaVita Nephrolife,https://nephrolife.in/,100
Jarsh Safety,https://jarshsafety.com/,jarsh-safety,Jarsh Safety,https://jarshsafety.com/,100
Keolis Hyderabad Mass Rapid Transit System,https://keolishyderabad.com/,keolis-hyderabad-mass-rapid-transit-system,Keolis Hyderabad Mass Rapid Transit System,https://keolishyderabad.com/,100
Medicover Hospitals,https://www.medicoverhospitals.in/,medicover-hospitals,Medicover Hospitals,https://www.medicoverhospitals.in/,100
Unschool,https://unschool.in/,unschool,Unschool,https://unschool.in/,100
MEDHA SERVO DRIVES PVT LTD,https://medha.com/,medha-servo-drives-pvt-ltd,MEDHA SERVO DRIVES PVT LTD,https://medha.com/,100
Piramal Swasthya,https://piramalswasthya.org/,piramal-swasthya,Piramal Swasthya,https://piramalswasthya.org/,100
Brane Enterprises,https://nslhub.com/,brane-enterprises,Brane Enterprises,https://nslhub.com/,100
Deccan Fine Chemicals,https://deccanchemicals.com/,deccan-fine-chemicals,Deccan Fine Chemicals,https://deccanchemicals.com/,100
Pramati Technologies,https://pramati.com/,pramati-technologies,Pramati Technologies,https://pramati.com/,100
NMDC Limited,https://www.nmdc.co.in/,nmdc-limited,NMDC Limited,https://www.nmdc.co.in/,100
Rotomaker Studio,https://rotomaker.com/,rotomaker-studio,Rotomaker Studio,https://rotomaker.com/,100
Cloud4C Services,https://cloud4c.com/,cloud4c-services,Cloud4C Services,https://cloud4c.com/,100
Vishwa Samudra Engineering,https://vishwasamudra.in/,vishwa-samudra-engineering,Vishwa Samudra Engineering,https://vishwasamudra.in/,100
Tanla Platforms,https://www.tanla.com/,tanla-platforms,Tanla Platforms,https://www.tanla.com/,100
Exploring Infinities,https://expinfi.com/,exploring-infinities,Exploring Infinities,https://expinfi.com/,100
Amara Raja Infra,https://www.amararaja.com/,amara-raja-infra,Amara Raja Infra,https://www.amararaja.com/,100
Heritage Foods,https://www.heritagefoods.in/,heritage-foods,Heritage Foods,https://www.heritagefoods.in/,100
Woxsen University,https://woxsen.edu.in/,woxsen-university,Woxsen University,https://woxsen.edu.in/,100
TV9,https://www.tv9.com/,tv9,TV9,https://www.tv9.com/,100
Aaseya IT Services,https://aaseya.com/,aaseya-it-services,Aaseya IT Services,https://aaseya.com/,100
Welspun Flooring,https://www.welspun.com/,welspun-flooring,Welspun Flooring,https://www.welspun.com/,100
MosChip,https://moschip.com/,moschip,MosChip,https://moschip.com/,100
PPS Motors,https://ppsmotors.in/,pps-motors,PPS Motors,https://ppsmotors.in/,100
Electronics Corporation of India Limited,https://www.ecil.co.in/,electronics-corporation-of-india-limited,Electronics Corporation of India Limited,https://www.ecil.co.in/,100
Aparna Constructions and Estates,https://www.aparnaconstructions.com/,aparna-constructions-and-estates,Aparna Constructions and Estates,https://www.aparnaconstructions.com/,100
ICRISAT,https://www.icrisat.org/,icrisat,ICRISAT,https://www.icrisat.org/,100
TalentSprint,https://talentsprint.com/,talentsprint,TalentSprint,https://talentsprint.com/,100
JK Agri Genetics,https://jkagri.com/,jk-agri-genetics,JK Agri Genetics,https://jkagri.com/,100
Pharma Wisdom Jobs,https://pharmawisdom.co.in/,pharma-wisdom-jobs,Pharma Wisdom Jobs,https://pharmawisdom.co.in/,100
Ankura Hospital,https://ankurahospital.com/,ankura-hospital,Ankura Hospital,https://ankurahospital.com/,100
GUS Education India,https://guseducationindia.com/,gus-education-india,GUS Education India,https://guseducationindia.com/,100
Focus Softnet,https://focussoftnet.com/,focus-softnet,Focus Softnet,https://focussoftnet.com/,100
Apollo 24|7,https://www.apollo247.com/,apollo-247,Apollo 24|7,https://www.apollo247.com/,100
JNTUH College of Engineering Hyderabad,https://jntuhceh.ac.in/,jntuh-college-of-engineering-hyderabad,JNTUH College of Engineering Hyderabad,https://jntuhceh.ac.in/,100
Soctronics,https://soctronics.com/,soctronics,Soctronics,https://soctronics.com/,100
Dukes India,https://dukesindia.com/,dukes-india,Dukes India,https://dukesindia.com/,100
Jocata,https://jocata.com/,jocata,Jocata,https://jocata.com/,100
TriGeo Technologies,https://trigeo.net/,trigeo-technologies,TriGeo Technologies,https://trigeo.net/,100
FHPL,https://fhpl.net/,fhpl,FHPL,https://fhpl.net/,100
Merilytics,https://merilytics.com/,merilytics,Merilytics,https://merilytics.com/,100
foundit,https://www.foundit.in/,foundit,foundit,https://www.foundit.in/,100
Absolute Barbecues,https://absolute-barbecue.com/,absolute-barbecues,Absolute Barbecues,https://absolute-barbecue.com/,100
HRH NEXT SERVICES,https://hrhnext.com/,hrh-next-services,HRH NEXT SERVICES,https://hrhnext.com/,100
Innomatics Research Labs,https://innomatics.in/,innomatics-research-labs,Innomatics Research Labs,https://innomatics.in/,100
Gangavaram Port,https://gangavaram.com/,gangavaram-port,Gangavaram Port,https://gangavaram.com/,100
GMR Aero Technic,https://gmraerotech.in/,gmr-aero-technic,GMR Aero Technic,https://gmraerotech.in/,100
BBG,https://bbgindia.com/,bbg,BBG,https://bbgindia.com/,100
Mahindra University,https://www.mahindrauniversity.edu.in/,mahindra-university,Mahindra University,https://www.mahindrauniversity.edu.in/,100
Fractal Enterprises,https://fractalenterprises.in/,fractal-enterprises,Fractal Enterprises,https://fractalenterprises.in/,100
Rain Industries,https://www.rain-industries.com/,rain-industries,Rain Industries,https://www.rain-industries.com/,100
Telebu Communications,https://telebu.com/,telebu-communications,Telebu Communications,https://telebu.com/,100
CODTECH IT SOLUTIONS,https://codtechitsolutions.com/,codtech-it-solutions,CODTECH IT SOLUTIONS,https://codtechitsolutions.com/,100
VSoft Technologies,https://vsoft.co.in/,vsoft-technologies,VSoft Technologies,https://vsoft.co.in/,100
ICMR-National Institute of Nutrition,https://www.nin.res.in/,icmr-national-institute-of-nutrition,ICMR-National Institute of Nutrition,https://www.nin.res.in/,100
GMR Hyderabad International Airport,https://www.hyderabad.aero/,gmr-hyderabad-international-airport,GMR Hyderabad International Airport,https://www.hyderabad.aero/,100
Vivimed Labs,https://vivimedlabs.com/,vivimed-labs,Vivimed Labs,https://vivimedlabs.com/,100
Celon Labs,https://celonlabs.com/,celon-labs,Celon Labs,https://celonlabs.com/,100
Biophore India Pharmaceuticals,https://biophore.com/,biophore-india-pharmaceuticals,Biophore India Pharmaceuticals,https://biophore.com/,100
Shriram Bioseed Genetics,https://bioseed.com/,shriram-bioseed-genetics,Shriram Bioseed Genetics,https://bioseed.com/,100
PalTech,https://pal.tech/,paltech,PalTech,https://paltech.com,100
Way2News,https://way2news.co/,way2news-b2,Way2News,https://way2news.com,100
Enmovil,https://enmovil.com/,enmovil-b2,Enmovil,https://enmovil.net,100
SpadeWorks,https://spadeworks.com/,spadeworks-b2,SpadeWorks,https://spadeworks.co,100
Deccan AI,https://deccanai.com/,deccan-ai-b2,Deccan AI,https://deccan.ai,100
Hesa,https://www.hesaglobal.com/,hesa-b2,Hesa,https://hesa.co,100
Mivi,https://www.mivi.in/,mivi,Mivi,https://www.mivi.in/,100
Donatekart,https://www.donatekart.com/,donatekart,Donatekart,https://www.donatekart.com/,100
Ozonetel,https://ozonetel.com/,ozonetel,Ozonetel,https://ozonetel.com/,100
DoctorC,https://doctorc.com/,doctorc,DoctorC,https://doctorc.com/,100
Eunimart,https://www.eunimart.com/,eunimart,Eunimart,https://www.eunimart.com/,100
NowPurchase,https://www.nowpurchase.com/,nowpurchase,NowPurchase,https://www.nowpurchase.com/,100
GrabOn,https://www.grabon.in/,grabon,GrabOn,https://www.grabon.in/,100
FretBox,https://fretbox.in/,fretbox,FretBox,https://fretbox.in/,100
Svaya Robotics,https://www.svayarobotics.com/,svaya-robotics,Svaya Robotics,https://www.svayarobotics.com/,100
Doosra,https://doosra.com/,doosra,Doosra,https://doosra.com/,100
Hugosave,https://hugosave.com/,hugosave,Hugosave,https://hugosave.com/,100
Tartan,https://www.tartanapp.com/,tartan,Tartan,https://www.tartanapp.com/,100
Hubble,https://www.hubble.money/,hubble,Hubble,https://www.hubble.money/,100
Hirex.ai,https://hirex.ai/,hirexai,Hirex.ai,https://hirex.ai/,100
CareStack,https://carestack.com/,carestack,CareStack,https://carestack.com/,100
Clinikk,https://clinikk.com/,clinikk,Clinikk,https://clinikk.com/,100
LifeCell,https://www.lifecell.in/,lifecell,LifeCell,https://www.lifecell.in/,100
FreshToHome,https://www.freshtohome.com/,freshtohome,FreshToHome,https://www.freshtohome.com/,100
Vahdam,https://www.vahdamteas.com/,vahdam,Vahdam,https://www.vahdamteas.com/,100
MyGate,https://mygate.com/,mygate,MyGate,https://mygate.com/,100
HomeLane,https://www.homelane.com/,homelane,HomeLane,https://www.homelane.com/,100
NoBroker,https://www.nobroker.in/,nobroker,NoBroker,https://www.nobroker.in/,100
Teachmint,https://www.teachmint.com/,teachmint,Teachmint,https://www.teachmint.com/,100
WE Hub,https://wehub.telangana.gov.in/,we-hub,WE Hub,https://wehub.telangana.gov.in/,100
RICH,https://rich.telangana.gov.in/,rich,RICH,https://rich.telangana.gov.in/,100
Ananth Technologies,https://ananthtech.com/,ananth-technologies,Ananth Technologies,https://ananthtech.com/,100
Astra Microwave Products,https://www.astramwp.com/,astra-microwave-products,Astra Microwave Products,https://www.astramwp.com/,100
MTAR Technologies,https://mtar.in/,mtar-technologies,MTAR Technologies,https://mtar.in/,100
Indian Immunologicals,https://www.indimmune.com/,indian-immunologicals,Indian Immunologicals,https://www.indimmune.com/,100
Aurobindo Pharma,https://www.aurobindo.com/,aurobindo-pharma,Aurobindo Pharma,https://www.aurobindo.com/,100
Sai Life Sciences,https://www.sailife.com/,sai-life-sciences,Sai Life Sciences,https://www.sailife.com/,100
Granules India,https://granulesindia.com/,granules-india,Granules India,https://granulesindia.com/,100
Gland Pharma,https://glandpharma.com/,gland-pharma,Gland Pharma,https://glandpharma.com/,100
Natco Pharma,https://www.natcopharma.co.in/,natco-pharma,Natco Pharma,https://www.natcopharma.co.in/,100
Yashoda Hospitals,https://www.yashodahospitals.com/,yashoda-hospitals,Yashoda Hospitals,https://www.yashodahospitals.com/,100
CARE Hospitals,https://www.carehospitals.com/,care-hospitals,CARE Hospitals,https://www.carehospitals.com/,100
KIMS Hospitals,https://www.kimshospitals.com/,kims-hospitals,KIMS Hospitals,https://www.kimshospitals.com/,100
Virinchi Hospitals,https://www.virinchihospitals.com/,virinchi-hospitals,Virinchi Hospitals,https://www.virinchihospitals.com/,100
Yellow.ai,https://yellow.ai/,yellowai,Yellow.ai,https://yellow.ai/,100
Phenom,https://www.phenom.com/,phenom,Phenom,https://www.phenom.com/,100
Innominds,https://www.innominds.com/,innominds,Innominds,https://www.innominds.com/,100
Sahaj Software,https://www.sahajsoft.com/,sahaj-software,Sahaj Software,https://www.sahajsoft.com/,100
Cloud4C,https://www.cloud4c.com/,cloud4c,Cloud4C,https://www.cloud4c.com/,100
Cigniti,https://www.cigniti.com/,cigniti,Cigniti,https://www.cigniti.com/,100
ECIL,https://www.ecil.co.in/,ecil,ECIL,https://www.ecil.co.in/,100
MIDHANI,https://midhani-india.in/,midhani,MIDHANI,https://midhani-india.in/,100
Amara Raja Energy and Mobility,https://www.amararaja.com/,amara-raja-energy-and-mobility,Amara Raja Energy and Mobility,https://www.amararaja.com/,100
TiE Hyderabad,https://tiehyderabad.org/,tie-hyderabad,TiE Hyderabad,https://tiehyderabad.org/,100
HYSEA,https://hysea.in/,hysea,HYSEA,https://hysea.in/,100
Happi Mobiles,https://happimobiles.com,happi-mobiles,Happi Mobiles,https://happimobiles.com,100
Neeman&#x27;s,https://neemans.com,neemans,Neeman's,https://neemans.com,95
Oliva Skin &amp; Hair Clinic,https://olivaclinic.com,oliva-skin-and-hair-clinic,Oliva Skin & Hair Clinic,https://olivaclinic.com,95
Rainbow Children&#x27;s Hospital,https://rainbowhospitals.in,rainbow-hospitals,Rainbow Children's Hospital,https://rainbowhospitals.in,95
Sid&#x27;s Farm,https://sidsfarm.com,sids-farm,Sid's Farm,https://sidsfarm.com,95
Alvarez &amp; Marsal,https://www.alvarezandmarsal.com,alvarezandmarsal-com,Alvarez & Marsal,https://www.alvarezandmarsal.com,95
Bain &amp; Company,https://www.bain.com,bain-com,Bain & Company,https://www.bain.com,95
Larsen &amp; Toubro,https://www.larsentoubro.com,larsentoubro,Larsen & Toubro,https://www.larsentoubro.com,95
L&amp;T Finance,https://www.ltfs.com,ltfs-com,L&T Finance,https://www.ltfs.com,95
