gallery_name,gallery_website,startup_id,startup_name,startup_website,match_score
Eyva,https://eyva.io,eyva,Eyva,https://eyva.io,100
Flashoot,https://flashoot.com,flashoot,Flashoot,https://flashoot.com,100
FlyingCaps Technologies,https://flyingcaps.com,flyingcaps-technologies,FlyingCaps Technologies,https://flyingcaps.com,100
Fourth Partner Energy,https://fourthpartner.co,fourth-partner-energy,Fourth Partner Energy,https://fourthpartner.co,100
FreJun,https://frejun.com,frejun,FreJun,https://frejun.com,100
Freyr Energy,https://freyrenergy.com,freyr-energy,Freyr Energy,https://freyrenergy.com,100
Frontlines EduTech (FLM),https://frontlinesedutech.com,frontlines-edutech,Frontlines EduTech (FLM),https://frontlinesedutech.com,100
Gayam Motor Works (GMW),https://gayammotorworks.com,gayam-motor-works,Gayam Motor Works (GMW),https://gayammotorworks.com,100
GeoSilicon,https://geosilicon.com,geosilicon,GeoSilicon,https://geosilicon.com,100
GeoVista,https://geovista.in,geovista,GeoVista,https://geovista.in,100
Getto India,https://getto-india.com,getto-india,Getto India,https://getto-india.com,100
glouniTech,https://glounitech.com,glounitech,glouniTech,https://glounitech.com,100
Gradious Technologies,https://gradious.com,gradious-technologies,Gradious Technologies,https://gradious.com,100
Greenko Group,https://greenkogroup.com,greenkogroup,Greenko Group,https://greenkogroup.com,100
Grene Robotics,https://grenerobotics.com,grene-robotics,Grene Robotics,https://grenerobotics.com,100
Gritty Tech,https://grittytech.com,gritty-tech,Gritty Tech,https://grittytech.com,100
Hala Mobility,https://halamobility.in,hala-mobility,Hala Mobility,https://halamobility.in,100
Harvested Robotics,https://harvestedrobotics.com,harvested-robotics,Harvested Robotics,https://harvestedrobotics.com,100
HatchingApps,https://hatchingapps.com,hatchingapps,HatchingApps,https://hatchingapps.com,100
HealthSignz,https://healthsignz.net,healthsignz,HealthSignz,https://healthsignz.net,100
Helex,https://helex.in,helex,Helex,https://helex.in,100
Hesa,https://hesa.co,hesa-b2,Hesa,https://hesa.co,100
Hierarchsoft,https://hierarchsoft.com,hierarchsoft,Hierarchsoft,https://hierarchsoft.com,100
HighRadius,https://highradius.com,highradius,HighRadius,https://highradius.com,100
Hitwicket,https://hitwicket.com,hitwicket,Hitwicket,https://hitwicket.com,100
HomeGround,https://homegroundapp.com,homeground,HomeGround,https://homegroundapp.com,100
HYLENR,https://hylenr.com,hylenr,HYLENR,https://hylenr.com,100
IMImobile,https://imimobile.com,imimobile,IMImobile,https://imimobile.com,100
IncNut Digital,https://incnut.com,incnut-digital,IncNut Digital,https://incnut.com,100
Indian Eagle,https://indianeagle.com,indian-eagle,Indian Eagle,https://indianeagle.com,100
Infinity Learn,https://infinitylearn.com,infinity-learn,Infinity Learn,https://infinitylearn.com,100
Infinity Square Digital Marketing Services,https://infinitysquaredigitalmarketing.com,infinity-square-digital-marketing-services,Infinity Square Digital Marketing Services,https://infinitysquaredigitalmarketing.com,100
INKPROG Technologies,https://inkprog.com,inkprog-technologies,INKPROG Technologies,https://inkprog.com,100
Inncircles,https://inncircles.com,inncircles,Inncircles,https://inncircles.com,100
Insurge AI,https://insurgeai.com,insurge-ai,Insurge AI,https://insurgeai.com,100
Isthara,https://isthara.com,isthara,Isthara,https://isthara.com,100
Jeh Aerospace,https://jeh.aero,jeh-aerospace,Jeh Aerospace,https://jeh.aero,100
Jobiak,https://jobiak.ai,jobiak,Jobiak,https://jobiak.ai,100
Kalgudi,https://kalgudi.com,kalgudi,Kalgudi,https://kalgudi.com,100
Kanerika,https://kanerika.com,kanerika,Kanerika,https://kanerika.com,100
KDR Soft Solutions,https://kdrsoftsolutions.com,kdrsoftsolutions,KDR Soft Solutions,https://kdrsoftsolutions.com,100
Keka HR,https://keka.com,keka-hr,Keka HR,https://keka.com,100
KFin Technologies,https://kfintech.com,kfin-technologies,KFin Technologies,https://kfintech.com,100
Kisanwala,https://kisanwala.com,kisanwala,Kisanwala,https://kisanwala.com,100
Klee Technologies,https://kleetech.com,klee-technologies,Klee Technologies,https://kleetech.com,100
KoderTroop,https://kodertroop.com,kodertroop,KoderTroop,https://kodertroop.com,100
Kraionyx,https://kraionyx.com,kraionyx,Kraionyx,https://kraionyx.com,100
Kritsnam Technologies,https://kritsnam.com,kritsnam,Kritsnam Technologies,https://kritsnam.com,100
Laalsa,https://laalsa.com,laalsa,Laalsa,https://laalsa.com,100
Landeed,https://landeed.com,landeed,Landeed,https://landeed.com,100
Landlens,https://landlens.co,landlens,Landlens,https://landlens.co,100
Leap India Food and Logistics,https://leapifl.com,leap-india-food-and-logistics,Leap India Food and Logistics,https://leapifl.com,100
Liquidnitro Games,https://liquidnitro.games,liquidnitro-games,Liquidnitro Games,https://liquidnitro.games,100
Litemed,https://litemed.co.in,litemed,Litemed,https://litemed.co.in,100
Livo.ai,https://livo.ai,livo-ai,Livo.ai,https://livo.ai,100
Logy.AI,https://logy.ai,logy-ai,Logy.AI,https://logy.ai,100
Mahaveer Soft Solutions,https://mahaveersoft.com,mahaveersoftsolutions,Mahaveer Soft Solutions,https://mahaveersoft.com,100
Makers Hive,https://makershive.io,makers-hive,Makers Hive,https://makershive.io,100
Marut Drones,https://marutdrones.com,marut-drones,Marut Drones,https://marutdrones.com,100
Material Depot,https://materialdepot.in,material-depot,Material Depot,https://materialdepot.in,100
Medtotes,https://medtotes.com,medtotes,Medtotes,https://medtotes.com,100
metapointer,https://metapointer.com,metapointer,metapointer,https://metapointer.com,100
MonaMIT,https://monamit.com,monamit,MonaMIT,https://monamit.com,100
Monitra Healthcare,https://monitrahealth.com,monitra-healthcare,Monitra Healthcare,https://monitrahealth.com,100
Monopoly IT,https://monopolyit.com,monopolyit,Monopoly IT,https://monopolyit.com,100
Montaigne Smart Business Solutions,https://montaigne.co,montaigne-smart-business-solutions,Montaigne Smart Business Solutions,https://montaigne.co,100
MSNW Tech,https://msnwtech.com,msnwtech,MSNW Tech,https://msnwtech.com,100
mTouch Labs,https://mtouchlabs.com,mtouchlabs,mTouch Labs,https://mtouchlabs.com,100
Multiplier AI,https://multiplierai.co,multiplier-ai,Multiplier AI,https://multiplierai.co,100
Myelin Foundry,https://myelinfoundry.ai,myelin-foundry,Myelin Foundry,https://myelinfoundry.ai,100
NEEMII,https://neemii.com,neemii,NEEMII,https://neemii.com,100
NephroPlus,https://nephroplus.com,nephroplus,NephroPlus,https://nephroplus.com,100
Nexoraa,https://nexoraa.com,nexoraa,Nexoraa,https://nexoraa.com,100
NowFloats,https://nowfloats.com,nowfloats,NowFloats,https://nowfloats.com,100
Nucon Aerospace,https://nuconaerospace.com,nucon-aerospace,Nucon Aerospace,https://nuconaerospace.com,100
NxtWave (CCBP 4.0),https://ccbp.in,nxtwave,NxtWave (CCBP 4.0),https://ccbp.in,100
Olectra Greentech,https://olectra.com,olectra-greentech,Olectra Greentech,https://olectra.com,100
Omni Hospitals,https://omnihospitals.in,omni-hospitals,Omni Hospitals,https://omnihospitals.in,100
OneFitPlus (Cultsport),https://cultsport.com,onefitplus,OneFitPlus (Cultsport),https://cultsport.com,100
OneMoney (Finsec AA),https://onemoney.in,onemoney,OneMoney (Finsec AA),https://onemoney.in,100
Onward Assist,https://onwardhealth.ai,onward-assist,Onward Assist,https://onwardhealth.ai,100
OpsTech,https://opstech.in,opstech,OpsTech,https://opstech.in,100
OrangeShark,https://orangeshark.com,orangeshark,OrangeShark,https://orangeshark.com,100
Pavakah Energy,https://pavakahenergy.com,pavakah-energy,Pavakah Energy,https://pavakahenergy.com,100
PayZello,https://payzello.com,payzello,PayZello,https://payzello.com,100
Perceptyne,https://perceptyne.com,perceptyne,Perceptyne,https://perceptyne.com,100
PerspectAI,https://perspect.ai,perspectai,PerspectAI,https://perspect.ai,100
Pi Datacenters,https://pidatacenters.com,pi-datacenters,Pi Datacenters,https://pidatacenters.com,100
pipra.solutions,https://pipra.solutions,pipra-solutions,pipra.solutions,https://pipra.solutions,100
Pixelvide,https://pixelvide.com,pixelvide,Pixelvide,https://pixelvide.com,100
Plane,https://plane.so,plane,Plane,https://plane.so,100
Portea Medical,https://portea.com,portea-medical,Portea Medical,https://portea.com,100
Portl,https://portl.co,portl,Portl,https://portl.co,100
Pure EV,https://pureenergy.co.in,pure-ev,Pure EV,https://pureenergy.co.in,100
PurpleTalk,https://purpletalk.com,purpletalk,PurpleTalk,https://purpletalk.com,100
QApilot,https://qapilot.ai,qapilot,QApilot,https://qapilot.ai,100
QualiZeal,https://qualizeal.com,qualizeal,QualiZeal,https://qualizeal.com,100
Quanteon Solutions,https://quanteon.co,quanteon-solutions,Quanteon Solutions,https://quanteon.co,100
Quantum Energy,https://quantumenergy.in,quantum-energy,Quantum Energy,https://quantumenergy.in,100
Qube,https://qubecinema.com,qube,Qube,https://qubecinema.com,100
Questbook,https://questbook.app,questbook,Questbook,https://questbook.app,100
Quixy,https://quixy.com,quixy,Quixy,https://quixy.com,100
Raghu Vamsi Aerospace Group,https://raghuvamsi.com,raghu-vamsi-aerospace,Raghu Vamsi Aerospace Group,https://raghuvamsi.com,100
Rational Knowledge Services,https://rationalks.com,rationalknowledgeservices,Rational Knowledge Services,https://rationalks.com,100
Reclaim Protocol,https://reclaimprotocol.org,reclaim-protocol,Reclaim Protocol,https://reclaimprotocol.org,100
Recykal,https://recykal.com,recykal,Recykal,https://recykal.com,100
RED.Health,https://red.health,red-health,RED.Health,https://red.health,100
RentAid,https://rentaid.in,rentaid,RentAid,https://rentaid.in,100
Sanaari,https://sanaari.com,sanaari,Sanaari,https://sanaari.com,100
Sanyark Space Technologies,https://sanyark.com,sanyark-space,Sanyark Space Technologies,https://sanyark.com,100
Scale.jobs,https://scale.jobs,scale-jobs,Scale.jobs,https://scale.jobs,100
Semex AI,https://t-hub.co,semex-ai,Semex AI,https://t-hub.co,100
Sense Health Technologies,https://itic.iith.ac.in,sense-health,Sense Health Technologies,https://itic.iith.ac.in,100
Seven Robotics (ProtonX),https://sevenrobotics.in,protonx-seven-robotics,Seven Robotics (ProtonX),https://sevenrobotics.in,100
Shoshin Tech,https://shoshin.tech,shoshin-tech,Shoshin Tech,https://shoshin.tech,100
SignalX.ai,https://signalx.ai,signalx-ai,SignalX.ai,https://signalx.ai,100
Signzy,https://signzy.com,signzy,Signzy,https://signzy.com,100
Silicon Business Solutions,https://siliconbiz.in,silicon-business-solutions,Silicon Business Solutions,https://siliconbiz.in,100
Sind Technologies,https://sindtechnologies.com,sind-technologies,Sind Technologies,https://sindtechnologies.com,100
Sioniq ERP,https://sioniqerp.com,sioniqerp,Sioniq ERP,https://sioniqerp.com,100
Skyroot Aerospace,https://skyroot.in,skyroot-aerospace,Skyroot Aerospace,https://skyroot.in,100
Space OS,https://t-hub.co,space-os,Space OS,https://t-hub.co,100
SpadeWorks,https://spadeworks.co,spadeworks-b2,SpadeWorks,https://spadeworks.co,100
Spicenet,https://spicenet.in,spicenet,Spicenet,https://spicenet.in,100
SreeAL,https://sreeal.com,sreeal,SreeAL,https://sreeal.com,100
STAG Innovations,https://staginnovations.com,stag-innovations,STAG Innovations,https://staginnovations.com,100
Startoon Labs,https://startoonlabs.com,startoon-labs,Startoon Labs,https://startoonlabs.com,100
StaTwig,https://statwig.com,statwig,StaTwig,https://statwig.com,100
StelX Dynamics,https://stelxdynamics.com,stelx-dynamics,StelX Dynamics,https://stelxdynamics.com,100
Storyvord,https://storyvord.io,storyvord,Storyvord,https://storyvord.io,100
Student Tribe,https://studenttribe.in,student-tribe,Student Tribe,https://studenttribe.in,100
Subtl.ai,https://subtl.ai,subtl-ai,Subtl.ai,https://subtl.ai,100
SuccessMetric,https://successmetric.in,successmetric,SuccessMetric,https://successmetric.in,100
Swipe,https://getswipe.in,swipe,Swipe,https://getswipe.in,100
T-Works,https://tworks.telangana.gov.in,t-works,T-Works,https://tworks.telangana.gov.in,100
TakeMe2Space,https://tm2.space,takeme2space,TakeMe2Space,https://tm2.space,100
TeamWA,https://teamwa.com,teamwa,TeamWA,https://teamwa.com,100
Tech Cloud ERP,https://techclouderp.com,tech-cloud-erp,Tech Cloud ERP,https://techclouderp.com,100
TechBHP,https://techbhp.com,techbhp,TechBHP,https://techbhp.com,100
TechVedika,https://techvedika.com,techvedika,TechVedika,https://techvedika.com,100
TechZert,https://techzert.com,techzert,TechZert,https://techzert.com,100
Tenet Diagnostics,https://tenetmedcorp.com,tenet-diagnostics,Tenet Diagnostics,https://tenetmedcorp.com,100
TensorGo,https://tensorgo.com,tensorgo,TensorGo,https://tensorgo.com,100
The Corpus Group,https://corpus.com,thecorpusgroup,The Corpus Group,https://corpus.com,100
Tiny Tactics,https://tinytactics.com,tiny-tactics,Tiny Tactics,https://tinytactics.com,100
Tohands,https://smart.tohands.in,tohands,Tohands,https://smart.tohands.in,100
Track3D,https://track3d.ai,track3d,Track3D,https://track3d.ai,100
Tractrix Opto Dynamics,https://tractrix.in,tractrix-opto-dynamics,Tractrix Opto Dynamics,https://tractrix.in,100
Trans India,https://transin.in,trans-india,Trans India,https://transin.in,100
TRiDE Mobility,https://tridemobility.com,tride-mobility,TRiDE Mobility,https://tridemobility.com,100
TurboHire,https://turbohire.co,turbohire,TurboHire,https://turbohire.co,100
Tutorac,https://tutorac.com,tutorac,Tutorac,https://tutorac.com,100
TVISHA,https://tvisha.com,tvisha,TVISHA,https://tvisha.com,100
uBlood,https://ublood.com,ublood,uBlood,https://ublood.com,100
UnoCareer,https://unocareer.com,unocareer-services,UnoCareer,https://unocareer.com,100
UrbanKisaan,https://urbankisaan.com,urbankisaan,UrbanKisaan,https://urbankisaan.com,100
Vaave,https://vaave.com,vaave,Vaave,https://vaave.com,100
Vahn,https://vahn.in,vahn,Vahn,https://vahn.in,100
Vasista,https://vasista.in,vasista,Vasista,https://vasista.in,100
Vectorform,https://vectorform.com,vectorform,Vectorform,https://vectorform.com,100
Velotrax,https://t-hub.co,velotrax,Velotrax,https://t-hub.co,100
Vembi Technologies,https://vembi.in,vembi-technologies,Vembi Technologies,https://vembi.in,100
Vivifi India,https://vivifin.com,vivifi-india,Vivifi India,https://vivifin.com,100
Vixspace,https://vixspace.com,vixspace,Vixspace,https://vixspace.com,100
Vizen Life Sciences,https://vizenlifesciences.com,vizen-life-sciences,Vizen Life Sciences,https://vizenlifesciences.com,100
Vogo,https://vogo.in,vogo-automotive,Vogo,https://vogo.in,100
Way2News,https://way2news.com,way2news-b2,Way2News,https://way2news.com,100
WEB ERA,https://webera.in,web-era,WEB ERA,https://webera.in,100
Wehouse,https://wehouse.in,wehouse,Wehouse,https://wehouse.in,100
Wexa AI,https://wexa.ai,wexa-ai,Wexa AI,https://wexa.ai,100
Windo,https://getwindo.com,windo,Windo,https://getwindo.com,100
Wisdom Overseas,https://wisdomoverseas.com,wisdomoverseas,Wisdom Overseas,https://wisdomoverseas.com,100
XDLINX Space Labs,https://xdlinx.space,xdlinx-space-labs,XDLINX Space Labs,https://xdlinx.space,100
XtremeICT,https://xtremeict.com,xtremeict,XtremeICT,https://xtremeict.com,100
Yapan Bio,https://yapanbio.com,yapan-bio,Yapan Bio,https://yapanbio.com,100
Zaggle,https://zaggle.in,zaggle,Zaggle,https://zaggle.in,100
Zebi,https://zebi.io,zebi,Zebi,https://zebi.io,100
Zenoti,https://zenoti.com,zenoti,Zenoti,https://zenoti.com,100
Zenwork,https://zenwork.com,zenwork,Zenwork,https://zenwork.com,100
ZettaMine,https://zettamine.com,zettamine,ZettaMine,https://zettamine.com,100
Zodhya,https://zodhyatech.com,zodhya,Zodhya,https://zodhyatech.com,100
Zomato,https://zomato.com,zomato,Zomato,https://zomato.com,100
Zuddl,https://zuddl.com,zuddl,Zuddl,https://zuddl.com,100
Zype Digital,https://zypedigital.com,zype-digital,Zype Digital,https://zypedigital.com,100
Zyppys,https://zyppys.com,zyppys,Zyppys,https://zyppys.com,100
Verizon,https://www.verizon.com,verizon-com,Verizon,https://www.verizon.com,100
GHX,https://www.ghx.com,ghx-com,GHX,https://www.ghx.com,100
Innova Solutions,https://www.innovasolutions.com,innovasolutions-com,Innova Solutions,https://www.innovasolutions.com,100
Renesas,https://www.renesas.com,renesas-com,Renesas,https://www.renesas.com,100
Randstad,https://www.randstad.in,randstad-in,Randstad,https://www.randstad.in,100
WeWork,https://wework.co.in,wework-co-in,WeWork,https://wework.co.in,100
Verisk,https://www.verisk.com,verisk-com,Verisk,https://www.verisk.com,100
UST,https://www.ust.com,ust-com,UST,https://www.ust.com,100
Fujitsu,https://www.fujitsu.com,fujitsu-com,Fujitsu,https://www.fujitsu.com,100
Synchrony,https://www.synchrony.com,synchrony-com,Synchrony,https://www.synchrony.com,100
PwC,https://www.pwc.in,pwc-in,PwC,https://www.pwc.in,100
Buzzworks,https://buzzworks.com,buzzworks-com,Buzzworks,https://buzzworks.com,100
ITC Infotech,https://www.itcinfotech.com,itcinfotech-com,ITC Infotech,https://www.itcinfotech.com,100
Smartworks,https://www.smartworksoffice.com,smartworksoffice-com,Smartworks,https://www.smartworksoffice.com,100
Cyient,https://www.cyient.com,cyient-com,Cyient,https://www.cyient.com,100
Atos,https://www.atos.net,atos-net,Atos,https://www.atos.net,100
Artech,https://www.artech.com,artech-com,Artech,https://www.artech.com,100
Colliers,https://www.colliers.com,colliers-com,Colliers,https://www.colliers.com,100
Concentrix,https://www.concentrix.com,concentrix-com,Concentrix,https://www.concentrix.com,100
Boston Consulting Group,https://www.bcg.com,bcg-com,Boston Consulting Group,https://www.bcg.com,100
DXC Technology,https://www.dxc.com,dxc-com,DXC Technology,https://www.dxc.com,100
Evalueserve,https://www.evalueserve.com,evalueserve-com,Evalueserve,https://www.evalueserve.com,100
Accenture,https://www.accenture.com,accenture-com,Accenture,https://www.accenture.com,100
CtrlS Datacenters,https://www.ctrls.in,ctrls-in,CtrlS Datacenters,https://ctrls.com,100
Novartis,https://www.novartis.com,novartis-com,Novartis,https://www.novartis.com,100
Cloudnine Hospital,https://www.cloudninehospitals.com,cloudninehospitals-com,Cloudnine Hospital,https://www.cloudninehospitals.com,100
Cotiviti,https://www.cotiviti.com,cotiviti-com,Cotiviti,https://www.cotiviti.com,100
Zelis,https://www.zelis.com,zelis-com,Zelis,https://www.zelis.com,100
Solenis,https://www.solenis.com,solenis-com,Solenis,https://www.solenis.com,100
DAZN,https://dazn.com,dazn-com,DAZN,https://dazn.com,100
Thomson Reuters,https://www.thomsonreuters.com,thomsonreuters-com,Thomson Reuters,https://www.thomsonreuters.com,100
Progress Software,https://www.progress.com,progress-com,Progress Software,https://www.progress.com,100
Thermo Fisher Scientific,https://www.thermofisher.com,thermofisher-com,Thermo Fisher Scientific,https://www.thermofisher.com,100
RSM US,https://rsmus.com,rsmus-com,RSM US,https://rsmus.com,100
Experian,https://www.experian.in,experian-in,Experian,https://www.experian.in,100
Eli Lilly,https://www.lilly.com,lilly-com,Eli Lilly,https://www.lilly.com,100
Paltech,https://paltech.com,paltech,PalTech,https://paltech.com,100
ShareChat,https://sharechat.com,sharechat-com,ShareChat,https://sharechat.com,100
Juspay,https://juspay.in,juspay-in,Juspay,https://juspay.in,100
Razorpay,https://razorpay.com,razorpay-com,Razorpay,https://razorpay.com,100
Scry Analytics,https://scryanalytics.ai,scryanalytics,Scry Analytics,https://scryanalytics.ai,100
Truveta,https://www.truveta.com,truveta-com,Truveta,https://www.truveta.com,100
Udaan,https://udaan.com,udaan-com,Udaan,https://udaan.com,100
Vymo,https://getvymo.com,getvymo-com,Vymo,https://getvymo.com,100
