id,name,website,industry,area,careers_url,job_title,job_category,salary_range,experience_level
darwinbox,"Darwinbox",https://darwinbox.com,"SaaS & Enterprise","HITEC City",https://darwinbox.com/careers,,,,
deccan-ai,"Deccan AI",https://deccan.ai,"AI & Machine Learning","Knowledge City / T-Hub",https://deccan.ai/careers,,,,
dhruva-space,"Dhruva Space",https://dhruvaspace.com,"DeepTech & Aerospace","Financial District",https://dhruvaspace.com/careers,,,,
diabetomics,"DiabetOmics",https://diabetomics.com,"HealthTech & BioTech","HITEC City",https://diabetomics.com/careers,,,,
digi-prex,"Digi-Prex",https://digi-prex.com,"HealthTech & BioTech","Banjara Hills",https://digi-prex.com/careers,,,,
docturnal,"Docturnal",https://docturnal.com,"HealthTech & BioTech","Begumpet",https://docturnal.com/careers,,,,
dodla-dairy,"Dodla Dairy",https://dodladairy.com,"E-Commerce & Consumer","Jubilee Hills",https://dodladairy.com/careers,,,,
domimart,"Domimart",https://domimart.in,"E-Commerce & Consumer","HITEC City",https://domimart.in/careers,,,,
dozee,"Dozee",https://dozee.health,"HealthTech & BioTech","HITEC City",https://dozee.health/careers,,,,
edutor-technologies,"Edutor Technologies",https://ignitorlearning.com,"EdTech","Madhapur",https://ignitorlearning.com/careers,,,,
ekincare,"Ekincare",https://ekincare.com,"HealthTech & BioTech","HITEC City",https://ekincare.com/careers,,,,
enaayah,"Enaayah",https://enaayah.com,"E-Commerce & Consumer","Jubilee Hills",https://enaayah.com/careers,,,,
engine-biosciences,"Engine Biosciences",https://enginebio.com,"HealthTech & BioTech","HITEC City",https://enginebio.com/careers,,,,
enmovil,"Enmovil",https://enmovil.net,"SaaS & Enterprise","Gachibowli",https://enmovil.net/careers,,,,
entersoftsecurity,"Entersoft Security",https://entersoftsecurity.com,"AI & Machine Learning","HITEC City",https://entersoftsecurity.com/careers,,,,
equal-identity,"Equal",https://equal.in,"FinTech & InsurTech","Madhapur",https://equal.in/careers,,,,
esktec,"Esktec",https://esktec.com,"AI & Machine Learning","Kondapur",https://esktec.com/careers,,,,
eunoia-innovations,"Eunoia Innovations",https://eunoiainnovations.com,"CleanTech & EV","Begumpet",https://eunoiainnovations.com/careers,,,,
evolgence,"Evolgence",https://evolgence.com,"SaaS & Enterprise","HITEC City",https://evolgence.com/careers,,,,
evolv28,"Evolv28",https://evolv28.com,"HealthTech & BioTech","Knowledge City / T-Hub",https://evolv28.com/careers,,,,
eyva,"Eyva",https://eyva.io,"HealthTech & BioTech","Gachibowli",https://eyva.io/careers,,,,
flashoot,"Flashoot",https://flashoot.com,"E-Commerce & Consumer","HITEC City",https://flashoot.com/careers,,,,
flyingcaps-technologies,"FlyingCaps Technologies",https://flyingcaps.com,"E-Commerce & Consumer","Madhapur",https://flyingcaps.com/careers,,,,
fourth-partner-energy,"Fourth Partner Energy",https://fourthpartner.co,"CleanTech & EV","Begumpet",https://fourthpartner.co/careers,,,,
frejun,"FreJun",https://frejun.com,"SaaS & Enterprise","Gachibowli",https://frejun.com/careers,,,,
freyr-energy,"Freyr Energy",https://freyrenergy.com,"CleanTech & EV","Banjara Hills",https://freyrenergy.com/careers,,,,
frontlines-edutech,"Frontlines EduTech (FLM)",https://frontlinesedutech.com,"EdTech","Jubilee Hills",https://frontlinesedutech.com/careers,,,,
gayam-motor-works,"Gayam Motor Works (GMW)",https://gayammotorworks.com,"CleanTech & EV","Gachibowli",https://gayammotorworks.com/careers,,,,
geosilicon,"GeoSilicon",https://geosilicon.com,"AI & Machine Learning","Financial District",https://geosilicon.com/careers,,,,
geovista,"GeoVista",https://geovista.in,"SaaS & Enterprise","Jubilee Hills",https://geovista.in/careers,,,,
getto-india,"Getto India",https://getto-india.com,"E-Commerce & Consumer","Gachibowli",https://getto-india.com/careers,,,,
glounitech,"glouniTech",https://glounitech.com,"SaaS & Enterprise","Gachibowli",https://glounitech.com/careers,,,,
gradious-technologies,"Gradious Technologies",https://gradious.com,"EdTech","Madhapur",https://gradious.com/careers,,,,
greenkogroup,"Greenko Group",https://greenkogroup.com,"CleanTech & EV","Madhapur",https://greenkogroup.com/careers,,,,
grene-robotics,"Grene Robotics",https://grenerobotics.com,"AI & Machine Learning","Jubilee Hills",https://grenerobotics.com/careers,,,,
gritty-tech,"Gritty Tech",https://grittytech.com,"SaaS & Enterprise","Madhapur",https://grittytech.com/careers,,,,
hala-mobility,"Hala Mobility",https://halamobility.in,"CleanTech & EV","Financial District",https://halamobility.in/careers,,,,
harvested-robotics,"Harvested Robotics",https://harvestedrobotics.com,"AgriTech & FoodTech","Knowledge City / T-Hub",https://harvestedrobotics.com/careers,,,,
hatchingapps,"HatchingApps",https://hatchingapps.com,"SaaS & Enterprise","Kondapur",https://hatchingapps.com/careers,,,,
healthsignz,"HealthSignz",https://healthsignz.net,"HealthTech & BioTech","Gachibowli",https://healthsignz.net/careers,,,,
helex,"Helex",https://helex.in,"HealthTech & BioTech","HITEC City",https://helex.in/careers,,,,
hesa,"Hesa",https://hesa.co,"AgriTech & FoodTech","HITEC City",https://hesa.co/careers,,,,
hierarchsoft,"Hierarchsoft",https://hierarchsoft.com,"SaaS & Enterprise","Begumpet",https://hierarchsoft.com/careers,,,,
highradius,"HighRadius",https://highradius.com,"SaaS & Enterprise","Madhapur",https://highradius.com/careers,,,,
hitwicket,"Hitwicket",https://hitwicket.com,"E-Commerce & Consumer","HITEC City",https://hitwicket.com/careers,,,,
homeground,"HomeGround",https://homegroundapp.com,"AI & Machine Learning","Financial District",https://homegroundapp.com/careers,,,,
hylenr,"HYLENR",https://hylenr.com,"CleanTech & EV","Gachibowli",https://hylenr.com/careers,,,,
imimobile,"IMImobile",https://imimobile.com,"SaaS & Enterprise","Madhapur",https://imimobile.com/careers,,,,
incnut-digital,"IncNut Digital",https://incnut.com,"E-Commerce & Consumer","Kondapur",https://incnut.com/careers,,,,
indian-eagle,"Indian Eagle",https://indianeagle.com,"E-Commerce & Consumer","Banjara Hills",https://indianeagle.com/careers,,,,
infinity-learn,"Infinity Learn",https://infinitylearn.com,"EdTech","Madhapur",https://infinitylearn.com/careers,,,,
infinity-square-digital-marketing-services,"Infinity Square Digital Marketing Services",https://infinitysquaredigitalmarketing.com,"SaaS & Enterprise","Uppal & East",https://infinitysquaredigitalmarketing.com/careers,,,,
inkprog-technologies,"INKPROG Technologies",https://inkprog.com,"SaaS & Enterprise","HITEC City",https://inkprog.com/careers,,,,
inncircles,"Inncircles",https://inncircles.com,"E-Commerce & Consumer","Gachibowli",https://inncircles.com/careers,,,,
insurge-ai,"Insurge AI",https://insurgeai.com,"AI & Machine Learning","Madhapur",https://insurgeai.com/careers,,,,
isthara,"Isthara",https://isthara.com,"E-Commerce & Consumer","Kondapur",https://isthara.com/careers,,,,
jeh-aerospace,"Jeh Aerospace",https://jeh.aero,"DeepTech & Aerospace","Financial District",https://jeh.aero/careers,,,,
jobiak,"Jobiak",https://jobiak.ai,"SaaS & Enterprise","Madhapur",https://jobiak.ai/careers,,,,
kalgudi,"Kalgudi",https://kalgudi.com,"AgriTech & FoodTech","Madhapur",https://kalgudi.com/careers,,,,
kanerika,"Kanerika",https://kanerika.com,"AI & Machine Learning","HITEC City",https://kanerika.com/careers,,,,
kdrsoftsolutions,"KDR Soft Solutions",https://kdrsoftsolutions.com,"SaaS & Enterprise","Begumpet",https://kdrsoftsolutions.com/careers,,,,
keka-hr,"Keka HR",https://keka.com,"SaaS & Enterprise","Madhapur",https://keka.com/careers,,,,
kfin-technologies,"KFin Technologies",https://kfintech.com,"FinTech & InsurTech","Financial District",https://kfintech.com/careers,,,,
kisanwala,"Kisanwala",https://kisanwala.com,"AgriTech & FoodTech","Gachibowli",https://kisanwala.com/careers,,,,
klee-technologies,"Klee Technologies",https://kleetech.com,"SaaS & Enterprise","HITEC City",https://kleetech.com/careers,,,,
kodertroop,"KoderTroop",https://kodertroop.com,"SaaS & Enterprise","Madhapur",https://kodertroop.com/careers,,,,
kraionyx,"Kraionyx",https://kraionyx.com,"SaaS & Enterprise","Madhapur",https://kraionyx.com/careers,,,,
kritsnam,"Kritsnam Technologies",https://kritsnam.com,"CleanTech & EV","HITEC City",https://kritsnam.com/careers,,,,
laalsa,"Laalsa",https://laalsa.com,"AgriTech & FoodTech","Banjara Hills",https://laalsa.com/careers,,,,
landeed,"Landeed",https://landeed.com,"E-Commerce & Consumer","HITEC City",https://landeed.com/careers,,,,
landlens,"Landlens",https://landlens.co,"AI & Machine Learning","Knowledge City / T-Hub",https://landlens.co/careers,,,,
leap-india-food-and-logistics,"Leap India Food and Logistics",https://leapifl.com,"SaaS & Enterprise","Jubilee Hills",https://leapifl.com/careers,,,,
liquidnitro-games,"Liquidnitro Games",https://liquidnitro.games,"E-Commerce & Consumer","Gachibowli",https://liquidnitro.games/careers,,,,
litemed,"Litemed",https://litemed.co.in,"HealthTech & BioTech","HITEC City",https://litemed.co.in/careers,,,,
livo-ai,"Livo.ai",https://livo.ai,"HealthTech & BioTech","Madhapur",https://livo.ai/careers,,,,
logy-ai,"Logy.AI",https://logy.ai,"AI & Machine Learning","Gachibowli",https://logy.ai/careers,,,,
mahaveersoftsolutions,"Mahaveer Soft Solutions",https://mahaveersoft.com,"SaaS & Enterprise","Begumpet",https://mahaveersoft.com/careers,,,,
makers-hive,"Makers Hive",https://makershive.io,"AI & Machine Learning","HITEC City",https://makershive.io/careers,,,,
marut-drones,"Marut Drones",https://marutdrones.com,"AI & Machine Learning","Madhapur",https://marutdrones.com/careers,,,,
material-depot,"Material Depot",https://materialdepot.in,"E-Commerce & Consumer","Madhapur",https://materialdepot.in/careers,,,,
medtotes,"Medtotes",https://medtotes.com,"HealthTech & BioTech","Uppal & East",https://medtotes.com/careers,,,,
metapointer,"metapointer",https://metapointer.com,"SaaS & Enterprise","Kondapur",https://metapointer.com/careers,,,,
monamit,"MonaMIT",https://monamit.com,"SaaS & Enterprise","HITEC City",https://monamit.com/careers,,,,
monitra-healthcare,"Monitra Healthcare",https://monitrahealth.com,"HealthTech & BioTech","Begumpet",https://monitrahealth.com/careers,,,,
monopolyit,"Monopoly IT",https://monopolyit.com,"SaaS & Enterprise","Madhapur",https://monopolyit.com/careers,,,,
montaigne-smart-business-solutions,"Montaigne Smart Business Solutions",https://montaigne.co,"SaaS & Enterprise","Madhapur",https://montaigne.co/careers,,,,
msnwtech,"MSNW Tech",https://msnwtech.com,"SaaS & Enterprise","Begumpet",https://msnwtech.com/careers,,,,
mtouchlabs,"mTouch Labs",https://mtouchlabs.com,"SaaS & Enterprise","Madhapur",https://mtouchlabs.com/careers,,,,
multiplier-ai,"Multiplier AI",https://multiplierai.co,"AI & Machine Learning","Madhapur",https://multiplierai.co/careers,,,,
myelin-foundry,"Myelin Foundry",https://myelinfoundry.ai,"AI & Machine Learning","Gachibowli",https://myelinfoundry.ai/careers,,,,
neemans,"Neeman's",https://neemans.com,"E-Commerce & Consumer","HITEC City",https://neemans.com/careers,,,,
neemii,"NEEMII",https://neemii.com,"E-Commerce & Consumer","Jubilee Hills",https://neemii.com/careers,,,,
nephroplus,"NephroPlus",https://nephroplus.com,"HealthTech & BioTech","Banjara Hills",https://nephroplus.com/careers,,,,
nexoraa,"Nexoraa",https://nexoraa.com,"SaaS & Enterprise","HITEC City",https://nexoraa.com/careers,,,,
nowfloats,"NowFloats",https://nowfloats.com,"SaaS & Enterprise","Jubilee Hills",https://nowfloats.com/careers,,,,
nucon-aerospace,"Nucon Aerospace",https://nuconaerospace.com,"AI & Machine Learning","HITEC City",https://nuconaerospace.com/careers,,,,
nxtwave,"NxtWave (CCBP 4.0)",https://ccbp.in,"EdTech","Financial District",https://ccbp.in/careers,,,,
olectra-greentech,"Olectra Greentech",https://olectra.com,"AI & Machine Learning","HITEC City",https://olectra.com/careers,,,,
oliva-skin-and-hair-clinic,"Oliva Skin & Hair Clinic",https://olivaclinic.com,"HealthTech & BioTech","Begumpet",https://olivaclinic.com/careers,,,,
omni-hospitals,"Omni Hospitals",https://omnihospitals.in,"HealthTech & BioTech","Madhapur",https://omnihospitals.in/careers,,,,
onefitplus,"OneFitPlus (Cultsport)",https://cultsport.com,"E-Commerce & Consumer","HITEC City",https://cultsport.com/careers,,,,
onemoney,"OneMoney (Finsec AA)",https://onemoney.in,"FinTech & InsurTech","Knowledge City / T-Hub",https://onemoney.in/careers,,,,
onward-assist,"Onward Assist",https://onwardhealth.ai,"HealthTech & BioTech","Gachibowli",https://onwardhealth.ai/careers,,,,
opstech,"OpsTech",https://opstech.in,"SaaS & Enterprise","Gachibowli",https://opstech.in/careers,,,,
orangeshark,"OrangeShark",https://orangeshark.com,"SaaS & Enterprise","Gachibowli",https://orangeshark.com/careers,,,,
pavakah-energy,"Pavakah Energy",https://pavakahenergy.com,"SaaS & Enterprise","Uppal & East",https://pavakahenergy.com/careers,,,,
payzello,"PayZello",https://payzello.com,"FinTech & InsurTech","Gachibowli",https://payzello.com/careers,,,,
perceptyne,"Perceptyne",https://perceptyne.com,"AI & Machine Learning","Kondapur",https://perceptyne.com/careers,,,,
perspectai,"PerspectAI",https://perspect.ai,"AI & Machine Learning","Knowledge City / T-Hub",https://perspect.ai/careers,,,,
pi-datacenters,"Pi Datacenters",https://pidatacenters.com,"SaaS & Enterprise","Financial District",https://pidatacenters.com/careers,,,,
pipra-solutions,"pipra.solutions",https://pipra.solutions,"AI & Machine Learning","Madhapur",https://pipra.solutions/careers,,,,
pixelvide,"Pixelvide",https://pixelvide.com,"SaaS & Enterprise","HITEC City",https://pixelvide.com/careers,,,,
plane,"Plane",https://plane.so,"SaaS & Enterprise","HITEC City",https://plane.so/careers,,,,
portea-medical,"Portea Medical",https://portea.com,"HealthTech & BioTech","Banjara Hills",https://portea.com/careers,,,,
portl,"Portl",https://portl.co,"E-Commerce & Consumer","Jubilee Hills",https://portl.co/careers,,,,
pure-ev,"Pure EV",https://pureenergy.co.in,"CleanTech & EV","HITEC City",https://pureenergy.co.in/careers,,,,
purpletalk,"PurpleTalk",https://purpletalk.com,"SaaS & Enterprise","Kondapur",https://purpletalk.com/careers,,,,
qapilot,"QApilot",https://qapilot.ai,"AI & Machine Learning","HITEC City",https://qapilot.ai/careers,,,,
qualizeal,"QualiZeal",https://qualizeal.com,"SaaS & Enterprise","Madhapur",https://qualizeal.com/careers,,,,
quanteon-solutions,"Quanteon Solutions",https://quanteon.co,"AI & Machine Learning","Gachibowli",https://quanteon.co/careers,,,,
quantum-energy,"Quantum Energy",https://quantumenergy.in,"CleanTech & EV","Madhapur",https://quantumenergy.in/careers,,,,
qube,"Qube",https://qubecinema.com,"E-Commerce & Consumer","Jubilee Hills",https://qubecinema.com/careers,,,,
questbook,"Questbook",https://questbook.app,"SaaS & Enterprise","Kondapur",https://questbook.app/careers,,,,
quixy,"Quixy",https://quixy.com,"SaaS & Enterprise","Financial District",https://quixy.com/careers,,,,
raghu-vamsi-aerospace,"Raghu Vamsi Aerospace Group",https://raghuvamsi.com,"DeepTech & Aerospace","HITEC City",https://raghuvamsi.com/careers,,,,
rainbow-hospitals,"Rainbow Children's Hospital",https://rainbowhospitals.in,"HealthTech & BioTech","Banjara Hills",https://rainbowhospitals.in/careers,,,,
rationalknowledgeservices,"Rational Knowledge Services",https://rationalks.com,"SaaS & Enterprise","Begumpet",https://rationalks.com/careers,,,,
reclaim-protocol,"Reclaim Protocol",https://reclaimprotocol.org,"AI & Machine Learning","Kondapur",https://reclaimprotocol.org/careers,,,,
recykal,"Recykal",https://recykal.com,"CleanTech & EV","Gachibowli",https://recykal.com/careers,,,,
red-health,"RED.Health",https://red.health,"HealthTech & BioTech","Madhapur",https://red.health/careers,,,,
rentaid,"RentAid",https://rentaid.in,"E-Commerce & Consumer","Banjara Hills",https://rentaid.in/careers,,,,
